student_id,student_name,grade,school_name,reading_score,math_score,school_type,school_budget
103880842,Travis Martin,9th,Sullivan High School,59,88.2,Public,961125
45069750,Michael Brown,9th,Dixon High School,94.7,73.5,Charter,870334
45024902,Gabriela Lucero,9th,Wagner High School,89,70.4,Public,846745
62582498,Susan Richardson,9th,Silva High School,69.7,80.3,Public,991918
16437227,Sherry Davis,11th,Bowers High School,,27.5,Public,848324
74579444,Cynthia Johnson,9th,Montgomery High School,63.5,76.9,Charter,893368
52067716,Thomas Wilson,12th,Montgomery High School,75.6,53.4,Charter,893368
112864862,Stephanie Torres,9th,Montgomery High School,64.8,76.5,Charter,893368
75984300,Victoria Lewis,10th,Campbell High School,65.7,96.1,Charter,960726
76307038,Kristen Torres,12th,Campos High School,62.9,90.4,Public,957299
45138694,Joseph Drake,9th,Turner High School,,,Public,956438
105535412,Ashley Ryan,10th,Green High School,80,74.8,Charter,832670
39038632,Michael Smith,9th,Wagner High School,,31.5,Public,846745
60241809,Daniel Washington,11th,Wagner High School,68.3,64.6,Public,846745
57727310,Anthony Lynch,9th,Woods High School,,29.3,Public,912243
19432614,Richard Simon,11th,Green High School,71.3,63.2,Charter,832670
51438919,Carolyn Hawkins,9th,Sullivan High School,49.6,85.4,Public,961125
51224398,Thomas Sexton,11th,Bowers High School,82.6,28.2,Public,848324
127147192,Aaron Washington,11th,Green High School,68.2,52.2,Charter,832670
62962791,Taylor Nixon,10th,Green High School,77.5,48.1,Charter,832670
68272498,Arthur Zuniga,10th,Campos High School,71.6,91.3,Public,957299
118221043,Alex Cain,10th,Green High School,64.3,60.3,Charter,832670
70623501,Virginia Meza,9th,Sullivan High School,,44.6,Public,961125
118847605,Brett Price,10th,Woods High School,53.7,58.7,Public,912243
74577349,Casey Mccarthy,10th,Turner High School,50.7,49.8,Public,956438
57771502,Chelsea Wilson,9th,Green High School,73.7,49.8,Charter,832670
41415230,Erika Acevedo,9th,Sullivan High School,,59.5,Public,961125
104224863,Mary Carter,11th,Montgomery High School,,79.8,Charter,893368
62733755,Sandra Parker,11th,Wagner High School,68,76.1,Public,846745
89830107,Lauren Aguilar,9th,Woods High School,60.3,84.2,Public,912243
36581234,Rhonda Singh,10th,Wagner High School,,74.4,Public,846745
23792311,Belinda Andrews,11th,Silva High School,88.6,60.6,Public,991918
10848508,Brenda Carey,12th,Dixon High School,90.3,57.9,Charter,870334
94927908,Chad Roberson,10th,Turner High School,,46.5,Public,956438
10260050,Jessica Jackson,11th,Green High School,77.3,41.7,Charter,832670
86331421,Heidi Reilly,9th,Odonnell High School,62.5,44.8,Public,959474
61178094,Marcus Bell,10th,Turner High School,83.6,76.5,Public,956438
115936881,Olivia Vazquez,12th,Richard High School,66.2,65.8,Charter,889699
81982846,Amber Garcia,9th,Chang High School,54.5,76.3,Charter,840132
63927340,Kendra Mcintosh,11th,Green High School,90,61.3,Charter,832670
32572140,Michele Johnson,10th,Montgomery High School,58.1,79.9,Charter,893368
86320694,Matthew Ellis,11th,Green High School,82.2,73.8,Charter,832670
76310342,Ralph Stokes,9th,Turner High School,85.4,58.9,Public,956438
70678310,James Burke,11th,Fisher High School,64,,Public,817615
91771393,Scott Gomez,9th,Wagner High School,76.5,58.3,Public,846745
103118608,Ryan Charles,10th,Dixon High School,71.1,93.1,Charter,870334
49891940,Tony Adams,11th,Green High School,92.4,53.1,Charter,832670
53285021,Kristina Sullivan,9th,Silva High School,70.6,83,Public,991918
36119596,Daniel Ingram,11th,Wagner High School,66.6,66.3,Public,846745
72600548,Tara Diaz,9th,Campos High School,74.1,45.5,Public,957299
64728535,Karen Dougherty,10th,Wagner High School,78.7,85.8,Public,846745
54923683,Benjamin Russell,10th,Richard High School,60.5,65.2,Charter,889699
64508140,Melissa Wagner,10th,Turner High School,94.9,75.3,Public,956438
121123662,Catherine Carney,10th,Campbell High School,64.9,75,Charter,960726
16337796,Christopher Dean,9th,Campos High School,69.3,6.4,Public,957299
109042095,Michael Blake,10th,Silva High School,94.9,59.1,Public,991918
40959823,Eric Lane,11th,Campbell High School,71.7,70.9,Charter,960726
46080411,Christopher Blanchard,12th,Richard High School,94.1,,Charter,889699
73841348,Karen Hart,9th,Dixon High School,83.5,89.1,Charter,870334
99501455,Brian Hernandez,10th,Wagner High School,75.8,77.9,Public,846745
86894214,Jeremiah Smith,10th,Dixon High School,59.5,96.4,Charter,870334
99048264,Victor Woods,10th,Wagner High School,58.6,51.9,Public,846745
34498785,Michael Gibson,12th,Montgomery High School,69,70.1,Charter,893368
121308296,Maria Goodwin,11th,Turner High School,74.7,52.3,Public,956438
86211842,Amy Thomas,11th,Montgomery High School,72.4,53.3,Charter,893368
26114239,James Fitzgerald,10th,Fisher High School,88,40.7,Public,817615
40215525,Richard Stevenson,9th,Green High School,93.7,63.5,Charter,832670
117040173,Paul Winters,9th,Dixon High School,88,79,Charter,870334
47933965,Joseph Johnson,11th,Bowers High School,53.6,54.1,Public,848324
53464729,Troy Doyle,10th,Dixon High School,88.6,89.4,Charter,870334
29947445,Michael Morgan,9th,Turner High School,78.5,53.8,Public,956438
14180136,Jeffrey Vargas,9th,Montgomery High School,33.6,72.3,Charter,893368
118657727,Jennifer Gill,10th,Campos High School,71.8,60.1,Public,957299
68761530,Danielle Robinson,9th,Silva High School,79.8,86.5,Public,991918
106479632,Jacqueline Atkinson,9th,Odonnell High School,43,59.6,Public,959474
75248486,David Brewer,11th,Montgomery High School,91.6,69.9,Charter,893368
94409280,Steven Allen,11th,Fisher High School,54.8,53.5,Public,817615
107635019,Todd Cannon,12th,Bowers High School,59.1,59.8,Public,848324
60853776,Christina Williams,10th,Green High School,98.7,57.3,Charter,832670
107586786,Shawn Young,9th,Silva High School,58.7,,Public,991918
114180654,Carlos Johnson,10th,Wagner High School,55.1,77,Public,846745
76211959,Rebekah Price,10th,Silva High School,84.5,64.4,Public,991918
79659673,Tracy Black,9th,Dixon High School,,69.9,Charter,870334
85664513,Kevin Chambers,10th,Sullivan High School,90.4,81.5,Public,961125
66165798,Kimberly Gordon,12th,Fisher High School,61.5,77.4,Public,817615
87161179,Kevin Barrera,12th,Woods High School,95.1,64.9,Public,912243
42389886,Alicia Walker,12th,Silva High School,50.6,61.1,Public,991918
74372146,Raymond Hall,10th,Campos High School,61.9,80.7,Public,957299
87272246,Catherine Sanders,9th,Silva High School,49.4,96.9,Public,991918
58898170,Cheyenne Salinas,9th,Dixon High School,75.7,,Charter,870334
11186159,Sue Moreno,10th,Silva High School,71.6,,Public,991918
45182653,Kyle Stephens,12th,Woods High School,,97.8,Public,912243
102190847,Kevin Smith,9th,Campbell High School,79.3,62.4,Charter,960726
40353665,Michael Johnson,11th,Bowers High School,97.2,73,Public,848324
41212637,Matthew Lewis,10th,Dixon High School,81.5,83.2,Charter,870334
17791661,Pamela Gilbert,10th,Montgomery High School,77.1,68.1,Charter,893368
115833997,Gina King,10th,Wagner High School,,75,Public,846745
114776563,Helen Dodson,10th,Silva High School,79.8,51.2,Public,991918
80554835,Edward Russell,12th,Odonnell High School,,96.6,Public,959474
17619099,Jennifer Boone,9th,Woods High School,46,68.9,Public,912243
31831251,Jonathan Bell,10th,Dixon High School,95.3,80.2,Charter,870334
100718823,Stephanie Carter,9th,Chang High School,63.9,56.8,Charter,840132
44189783,Jennifer Malone,10th,Campos High School,69.1,66.3,Public,957299
102771428,Natalie Burke,9th,Campos High School,64.9,42.1,Public,957299
47580790,Mark Little,11th,Bowers High School,86.9,,Public,848324
124430792,Craig Rubio,11th,Montgomery High School,,,Charter,893368
66530501,Calvin Hernandez,9th,Dixon High School,61.8,76,Charter,870334
113611098,Kimberly Lewis,9th,Woods High School,59.5,30.8,Public,912243
69953334,Scott Francis,10th,Woods High School,75.8,60.3,Public,912243
102373185,David Fox,10th,Montgomery High School,,33.5,Charter,893368
63790962,Aaron Becker,10th,Green High School,85.6,74.3,Charter,832670
127502326,Brian Mcconnell,9th,Campos High School,53.6,39,Public,957299
70034022,David Nichols,10th,Turner High School,55.4,82.7,Public,956438
92527957,Brian Hawkins,12th,Bowers High School,52.5,39.8,Public,848324
